2022-12-10 04:34:50,086 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:34:51,419 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:30:29')'
2022-12-10 04:34:51,872 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:30:29')
2022-12-10 04:34:52,071 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:30:29')'
2022-12-10 04:34:52,264 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:30:29')'
2022-12-10 04:34:56,562 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:30:29')'
2022-12-10 04:35:00,608 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:35:29')'
2022-12-10 04:35:03,653 | UposService | INFO | succeed to do 'GetInfoData('CHR017', '2021-04-01 13:35:29')'
2022-12-10 04:35:05,044 | UposService | INFO | succeed to do 'GetInfoData('CHR016', '2021-04-01 13:35:29')'
2022-12-10 04:35:07,788 | UposService | INFO | succeed to do 'GetInfoData('CHR018', '2021-04-01 13:35:29')'
2022-12-10 04:35:09,221 | UposService | INFO | succeed to do 'GetInfoData('CHR020', '2021-04-01 13:35:29')'
2022-12-10 04:35:10,791 | UposService | INFO | succeed to do 'GetInfoData('CHR016', '2021-04-01 13:35:29')'
2022-12-10 04:36:23,414 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:35:29')
2022-12-10 04:36:23,646 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:35:29')'
2022-12-10 04:36:23,851 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:35:29')'
2022-12-10 04:36:24,070 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:35:29')'
2022-12-10 04:37:00,214 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:35:29')'
2022-12-10 04:37:40,853 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:35:29')'
2022-12-10 04:37:41,077 | UposService | INFO | succeed to do 'GetInfoData('CHR016', '2021-04-01 13:35:29')'
2022-12-10 04:38:03,620 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:35:29')'
2022-12-10 04:38:03,948 | UposService | INFO | succeed to do 'GetInfoData('CHR016', '2021-04-01 13:35:29')'
2022-12-10 04:38:05,865 | UposService | INFO | succeed to do 'GetInfoData('CHR017', '2021-04-01 13:35:29')'
2022-12-10 04:38:07,806 | UposService | INFO | succeed to do 'GetInfoData('CHR018', '2021-04-01 13:35:29')'
2022-12-10 04:38:09,306 | UposService | INFO | succeed to do 'GetInfoData('CHR019', '2021-04-01 13:35:29')'
2022-12-10 04:38:11,517 | UposService | INFO | succeed to do 'GetInfoData('CHR020', '2021-04-01 13:35:29')'
2022-12-10 04:38:13,435 | UposService | INFO | succeed to do 'GetInfoData('CHR021', '2021-04-01 13:35:29')'
2022-12-10 04:38:38,829 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 13:35:29')'
2022-12-10 04:38:39,074 | UposService | INFO | succeed to do 'GetInfoData('CHR016', '2021-04-01 13:35:29')'
2022-12-10 04:38:42,293 | UposService | INFO | succeed to do 'GetInfoData('CHR017', '2021-04-01 13:35:29')'
2022-12-10 04:38:43,955 | UposService | INFO | succeed to do 'GetInfoData('CHR018', '2021-04-01 13:35:29')'
2022-12-10 04:38:47,116 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:35:29')'
2022-12-10 04:38:47,299 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:35:29')'
2022-12-10 04:38:47,534 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:35:29')'
2022-12-10 04:38:47,953 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:35:29')
2022-12-10 04:39:47,162 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 13:35:29')'
2022-12-10 04:39:47,324 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 13:35:29')'
2022-12-10 04:39:47,641 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 13:35:29')
2022-12-10 04:39:47,821 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 13:35:29')'
2022-12-10 05:23:37,191 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:20:29')'
2022-12-10 05:23:37,507 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:20:29')
2022-12-10 05:23:37,671 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:20:29')'
2022-12-10 05:23:37,849 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:20:29')'
2022-12-10 05:23:39,480 | UposService | INFO | succeed to do 'GetInfoData('CHR016', '2021-04-01 14:20:29')'
2022-12-10 05:23:39,643 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 14:20:29')'
2022-12-10 05:23:46,347 | UposService | INFO | succeed to do 'GetInfoData('CHR017', '2021-04-01 14:20:29')'
2022-12-10 05:23:47,997 | UposService | INFO | succeed to do 'GetInfoData('CHR019', '2021-04-01 14:20:29')'
2022-12-10 05:23:52,237 | UposService | INFO | succeed to do 'GetInfoData('CHR021', '2021-04-01 14:20:29')'
2022-12-10 05:23:54,985 | UposService | INFO | succeed to do 'GetInfoData('CHR022', '2021-04-01 14:20:29')'
2022-12-10 06:07:59,897 | UposService | INFO | succeed to do 'GetInfoData('CHR019', '2021-04-01 15:05:29')'
2022-12-10 06:08:02,265 | UposService | INFO | succeed to do 'GetInfoData('CHR017', '2021-04-01 15:05:29')'
2022-12-10 06:08:03,569 | UposService | INFO | succeed to do 'GetInfoData('CHR019', '2021-04-01 15:05:29')'
2022-12-10 06:08:08,044 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:05:29')'
2022-12-10 06:08:08,394 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:05:29')
2022-12-10 06:08:08,558 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:05:29')'
2022-12-10 06:08:08,738 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:05:29')'
2022-12-10 06:09:08,679 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:05:29')'
2022-12-10 06:09:09,022 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:05:29')
2022-12-10 06:09:09,211 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:05:29')'
2022-12-10 06:09:09,493 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:05:29')'
2022-12-10 06:26:35,738 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 15:25:29')'
2022-12-10 06:26:40,607 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-07')'
2022-12-10 06:26:51,983 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-07')'
2022-12-10 06:26:52,290 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 15:25:29')'
2022-12-10 06:26:55,710 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 15:25:29')'
2022-12-10 06:26:59,384 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-08')'
2022-12-10 06:27:11,693 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 15:25:29')'
2022-12-10 06:27:24,917 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-10 06:27:28,643 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-12 15:25:29')'
2022-12-10 06:27:36,928 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-07')'
2022-12-10 06:27:49,047 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-07')'
2022-12-10 06:27:49,264 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-07')'
2022-12-10 06:27:51,551 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:25:29')'
2022-12-10 06:27:51,908 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:25:29')
2022-12-10 06:27:52,118 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:25:29')'
2022-12-10 06:27:52,327 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:25:29')'
