2022-12-07 11:38:25,570 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:35:29')'
2022-12-07 11:38:25,767 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:35:29')'
2022-12-07 11:38:26,131 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:35:29')
2022-12-07 11:39:22,288 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-08')'
2022-12-07 11:40:44,658 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:40:29')'
2022-12-07 11:40:45,187 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:40:29')
2022-12-07 11:40:45,395 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:40:29')'
2022-12-07 11:40:55,653 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:40:29')'
2022-12-07 11:40:55,977 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:40:29')
2022-12-07 11:40:56,143 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:40:29')'
2022-12-07 11:43:08,163 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:40:29')
2022-12-07 11:43:08,340 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:40:29')'
2022-12-07 11:43:08,503 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:40:29')'
2022-12-07 11:44:30,044 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:40:29')'
2022-12-07 11:44:30,232 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:40:29')'
2022-12-07 11:44:30,559 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:40:29')
2022-12-07 11:47:01,020 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:45:29')
2022-12-07 11:47:01,212 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:45:29')'
2022-12-07 11:47:01,372 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:45:29')'
2022-12-07 11:47:51,830 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:45:29')'
2022-12-07 11:47:52,200 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:45:29')
2022-12-07 11:47:52,376 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:45:29')'
2022-12-07 11:48:46,760 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:45:29')
2022-12-07 11:48:46,969 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:45:29')'
2022-12-07 11:48:47,149 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:45:29')'
2022-12-07 11:49:40,130 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:45:29')'
2022-12-07 11:49:40,460 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:45:29')
2022-12-07 11:49:40,631 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:45:29')'
2022-12-07 11:50:02,568 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:50:02,751 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:50:02,934 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:50:17,624 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:50:17,961 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:50:18,132 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:50:24,972 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:50:25,150 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:50:25,329 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:50:35,193 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:50:35,361 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:50:35,712 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:51:09,028 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:51:09,397 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:51:09,654 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:51:36,704 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:51:36,889 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:51:37,248 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:51:43,979 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:51:44,152 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:51:44,499 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:53:36,688 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:53:36,867 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:53:37,266 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:53:49,373 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:53:49,543 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:53:49,876 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:54:12,803 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:54:13,172 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:54:13,360 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:54:31,045 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:54:31,406 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:54:31,573 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:54:53,668 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:50:29')'
2022-12-07 11:54:53,837 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:50:29')'
2022-12-07 11:54:54,180 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:50:29')
2022-12-07 11:55:22,186 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:55:29')'
2022-12-07 11:55:22,536 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:55:29')
2022-12-07 11:55:22,727 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:55:29')'
2022-12-07 11:57:35,192 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 20:55:29')'
2022-12-07 11:57:35,535 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 20:55:29')
2022-12-07 11:57:35,714 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 20:55:29')'
2022-12-07 12:00:30,822 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 21:00:29')'
