2022-12-08 06:53:22,528 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:50:29')
2022-12-08 06:53:22,756 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:50:29')'
2022-12-08 06:53:22,952 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:50:29')'
2022-12-08 06:53:23,149 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:50:29')'
2022-12-08 06:57:47,016 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:55:29')'
2022-12-08 06:57:47,179 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:55:29')'
2022-12-08 06:57:47,499 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:55:29')
2022-12-08 06:57:47,694 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:55:29')'
2022-12-08 06:58:14,180 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:55:29')'
2022-12-08 06:58:14,358 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:55:29')'
2022-12-08 06:58:14,519 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:55:29')'
2022-12-08 06:58:14,848 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:55:29')
2022-12-08 06:58:56,459 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:55:29')'
2022-12-08 06:58:56,659 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:55:29')'
2022-12-08 06:58:56,827 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:55:29')'
2022-12-08 06:58:57,162 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:55:29')
2022-12-08 06:59:53,830 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:55:29')'
2022-12-08 06:59:54,071 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 15:55:29')'
2022-12-08 06:59:54,407 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:55:29')
2022-12-08 06:59:54,590 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 15:55:29')'
2022-12-08 07:12:50,223 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:10:29')'
2022-12-08 07:12:50,390 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 16:10:29')'
2022-12-08 07:12:50,587 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 16:10:29')'
2022-12-08 07:12:50,934 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:10:29')
2022-12-08 07:17:32,843 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 16:15:29')'
2022-12-08 07:17:33,199 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:15:29')
2022-12-08 07:17:33,380 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:15:29')'
2022-12-08 07:17:33,559 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 16:15:29')'
2022-12-08 07:25:52,633 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:25:29')'
